species,gridlat,gridlon,d18oc,d18osw,t_annual,t_seasonal,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12
G. bulloides,40.5,-30.5,0.51,0.8304075002670288,18.04451560974121,18.04451560974121,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,40.5,-27.5,0.87,0.8029398918151855,17.751680374145508,17.751680374145508,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,40.5,-25.5,0.85,0.794248104095459,17.641008377075195,17.641008377075195,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,40.5,-10.5,0.645,0.7719508409500122,16.539264678955078,16.539264678955078,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,40.5,11.5,1.36,1.3073614835739136,18.843271255493164,18.843271255493164,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,40.5,13.5,1.19,1.3439841270446777,19.42844009399414,19.42844009399414,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,41.5,-47.5,1.1894906981333333,0.3699361979961395,16.275514602661133,16.275514602661133,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,41.5,4.5,1.13,1.2863472700119019,17.534141540527344,17.534141540527344,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,41.5,17.5,1.3533333333333335,1.4140937328338623,18.32251739501953,18.32251739501953,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,42.5,-32.5,0.51,0.7755988240242004,17.304731369018555,17.304731369018555,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,42.5,-25.5,0.6950000000000001,0.7426038980484009,16.74674415588379,16.74674415588379,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,42.5,-10.5,0.6,0.7020502090454102,15.71709156036377,15.71709156036377,1,1,1,1,1,1,1,1,1,1,1,1
G. bulloides,42.5,4.5,1.3050000000000002,1.3177658319473267,16.89171028137207,16.89171028137207,1,1,1,1,1,1,1,1,1,1,1,1
